username,password,password_hash,first_name,last_name,Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
rsingh,C7d!6f@1,ee0fee2bda658eb09f021c5ec6fa4656fb2465b6091089d325415e4ca39692de,Rohit,Singh,Business Administration,Male,4.17,4.84,"Low (Below 15,000)",Village,3,More than 3 Hours,0-1 Hour,80%-100%,No,3,Yes,6th,3.22,3.35
dyadav,C43!f1@1,a778e2277ace1032adcc77d81f22e7bdf0c12d331d41e93f9e8f44f5b76feddd,Divya,Yadav,Business Administration,Female,4.92,5.0,"Upper middle (30,000-50,000)",City,3,0-1 Hour,0-1 Hour,80%-100%,No,3,Yes,7th,3.467,3.467
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vivek,Sharma,Business Administration,Male,5.0,4.83,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,80%-100%,No,4,Yes,3rd,4.0,3.72
ssingh,C39!23@1,8f3513690e5ebcba64d5079a56ab7d15c05789baf91b123ed74b5dbf31d0a841,Suresh,Singh,Business Administration,Male,4.0,4.5,"High (Above 50,000)",City,5,More than 3 Hours,More than 3 Hours,80%-100%,No,5,Yes,4th,3.8,3.75
msingh,80f!73@1,119e7ad71dfdb05ea61bb5e3724ed1a7b52a23764be94591870f8852e2cf0366,Meera,Singh,Business Administration,Female,2.19,3.17,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,2-3 Hours,80%-100%,No,3,Yes,4th,3.94,3.94
djain,D99!4d@1,5ddea823c3cbb298ef2ed0d6c123b9fee4bd916f1685a52c797ad04a8dc3b715,Dinesh,Jain,Computer Science and Engineering,Male,4.75,4.05,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.0,1.0
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vikram,Gupta,Computer Science and Engineering,Male,4.42,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.06,1.06
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rohit,Jain,Computer Science and Engineering,Male,4.5,4.81,"Upper middle (30,000-50,000)",City,3,2-3 Hours,More than 3 Hours,80%-100%,No,4,Yes,11th,2.95,1.25
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vivek,Sharma,Computer Science and Engineering,Male,3.32,4.5,"Low (Below 15,000) ",City,4,0-1 Hour,More than 3 Hours,Below 40%,No,3,Yes,5th,1.42,1.44
psharma,Fde!83@1,4c2c4fcaa4ad1b735bd1eba35413e6fb94ebb84d44550c5ebc49ce8b58d4aa7b,Pooja,Sharma,Computer Science and Engineering,Female,3.33,4.95,"Lower middle (15,000-30,000) ",City,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.5,1.5
rpatel,Dd4!55@1,3af4b1633edfe7769a0fbc18d5be25da40aaa0f52a7259cfcd7179d05606f026,Rajesh,Patel,Computer Science and Engineering,Male,4.17,5.0,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.56,1.56
vjain,158!f2@1,6266042c2f6e4b6b9842754f133b66b4b9ef75caa59068acea6f5b37bc56714d,Vivek,Jain,Computer Science and Engineering,Male,3.58,4.56,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,9th,1.57,1.57
vkumar,2bc!e6@1,03f84da3570a9c36ed9f6bf8ccb1f6e4469f441488f4eb0ce7234271c39e698a,Vivek,Kumar,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.57,1.57
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vikram,Gupta,Computer Science and Engineering,Male,4.5,4.75,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,8th,1.0,1.6
asharma,C5e!2e@1,a0c81e812c7fa6bf141b1c8441ae4d3f4508d3180827e0da425002a1c51651bb,Ankit,Sharma,Computer Science and Engineering,Male,3.83,5.0,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.62,1.62
spatel,956!07@1,56f072a5340bfeab38eb1a5405e3045e385523059bd0f6c4520ace3ce2c1ee76,Suresh,Patel,Computer Science and Engineering,Male,4.33,4.64,"Lower middle (15,000-30,000) ",City,5,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,2nd,1.69,1.69
ajain,477!28@1,c94dee98f65a7f20d595e3d89c0eb6b1d473ab6a3319dde2ed098b8256911ddd,Anjali,Jain,Computer Science and Engineering,Female,4.51,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,8th,1.83,1.71
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vivek,Gupta,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.69,1.72
ajain,477!28@1,c94dee98f65a7f20d595e3d89c0eb6b1d473ab6a3319dde2ed098b8256911ddd,Ankit,Jain,Computer Science and Engineering,Male,3.92,4.72,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,5th,1.33,1.75
asingh,62f!86@1,10db1b7dfd4a8730549bc47a58952a31ff463cfb7cb6815c687e4547b527d1b9,Amit,Singh,Computer Science and Engineering,Male,3.92,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,2,Yes,2nd,1.75,1.75
spatel,956!07@1,56f072a5340bfeab38eb1a5405e3045e385523059bd0f6c4520ace3ce2c1ee76,Suresh,Patel,Computer Science and Engineering,Male,4.08,5.0,"Low (Below 15,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.25,1.75
rgupta,E08!18@1,03632429eee720389e149cd862773349f27ef308483a6105591d69a3f38f4b02,Rahul,Gupta,Computer Science and Engineering,Male,3.67,4.86,"Lower middle (15,000-30,000)",City,2,0-1 Hour,0-1 Hour,80%-100%,No,3,Yes,3rd,1.79,1.8
dchoudhary,7c2!e3@1,4c8d140c31c9c2f30f5181688a3117884afc658112af88f84402df34aa218972,Dinesh,Choudhary,Computer Science and Engineering,Male,4.0,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,2,No,2nd,1.63,1.86
ayadav,3a4!dc@1,9c6c1ec57281f3fa0601414b868a46d661fda4f899a1953d46eddbc3c0dc04b0,Ankit,Yadav,Computer Science and Engineering,Male,3.75,4.73,"Upper middle (30,000-50,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,1.88,1.88
pyadav,F0f!1b@1,092f22edb89300db312411d54e4d5e37d252d736e1b2a2c59c3a72d5af80179a,Prakash,Yadav,Computer Science and Engineering,Male,3.5,5.0,"Upper middle (30,000-50,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,5th,1.89,1.89
rgupta,E08!18@1,03632429eee720389e149cd862773349f27ef308483a6105591d69a3f38f4b02,Rahul,Gupta,Computer Science and Engineering,Male,4.2,5.0,"Upper middle (30,000-50,000)",City,4,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,9th,1.45,1.9
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rekha,Jain,Computer Science and Engineering,Female,4.58,4.94,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,Below 40%,No,4,No,5th,1.33,1.9
